stage,trial,mean_score,std_score,radio_p_min,radio_p_max,radio_w_req,radio_w_load,radio_w_inter,radio_w_block,radio_w_demand,radio_sig_k,radio_ch_min,radio_ch_max,radio_w_cov,radio_w_chmatch,radio_w_block_ch,radio_w_demand_ch,radio_sig_k_ch,compute_off_base,compute_off_demand_k,compute_off_queue_k,compute_cpu_base,compute_cpu_queue_k,compute_cpu_demand_k,compute_cpu_min
radio,0,22.592996798243547,0.0,0.43697802427798166,0.7755513759008209,1.717195839822765,1.3947360581187278,0.18835469577529906,1.9512447032735118,1.522279403980706,10.074578747492584,0.06227749878293014,0.6427508596321186,0.7415960484651625,1.8535299776972036,1.287730240161329,1.64552322654166,6.99072778944598,0.05,0.3,1.2,0.1,1.2,0.4,0.0
radio,1,16.3564194338885,0.0,0.16361936089238843,0.8218339148063339,0.12763451220835065,1.6552623439851641,1.2633287982441297,1.5161754801707477,0.7090519362597367,11.736282219554129,0.3147299700363252,0.8559492730979452,0.38927741570393515,0.9334420074540684,0.08760753157445755,0.30857898413509566,9.147440579182092,0.05,0.3,1.2,0.1,1.2,0.4,0.0
radio,2,21.192601496742693,0.0,0.42238107795390856,0.987003892973684,0.6516507162763039,0.7409194120697378,0.9391116225516158,0.3789427181685714,0.2598430106709433,7.281344336033404,0.09488008518679175,0.7853790965436317,0.8743038377446615,1.6653563921156749,1.4005302040044982,0.6247332827640821,10.49033821255681,0.05,0.3,1.2,0.1,1.2,0.4,0.0
radio,3,21.521173516904412,0.0,0.4523821787484009,0.7549913516120698,0.5766562078604882,1.364991007949951,0.2795049672186196,0.39981640495021664,0.014724539502011025,10.082319397519246,0.23940078267537057,0.8083574961071178,1.5614580620439358,0.9178315510766799,1.1374823919057875,0.2795939962553149,4.030770661823761,0.05,0.3,1.2,0.1,1.2,0.4,0.0
radio,4,22.31209353452789,0.0,0.3842014808952358,0.788438482457253,1.1304722129623777,1.5299977148320512,1.2694366400011816,1.1071588013159916,1.118414321490827,5.73555088256351,0.03016988540742,0.6338663030010355,0.4291693456390584,0.8170572874492723,1.7068061465363322,0.4678789717306815,3.524724675201594,0.05,0.3,1.2,0.1,1.2,0.4,0.0
radio,5,11.625596882012315,0.0,0.19069194601099826,0.7174375031066734,1.3238330294537901,1.1140643046825567,1.567796418212827,1.328627080654775,0.812773722880141,10.326183461994312,0.07510106356954228,0.36476284753700927,0.1800957215512835,1.4447187011929006,0.9237544605027748,0.3225435580672036,7.509402975930271,0.05,0.3,1.2,0.1,1.2,0.4,0.0
radio,6,20.30088602262105,0.0,0.1261560513565842,0.8785281500310944,0.8923125511480614,0.762042452192965,0.603024178295753,1.260565186237777,0.7236252211067808,3.788849273844909,0.058941947699770056,0.9752334819571844,1.817161381415214,1.3994142676214991,0.5317399229190392,1.9383527546954478,10.008758135692151,0.05,0.3,1.2,0.1,1.2,0.4,0.0
radio,7,21.89453760946107,0.0,0.4084450945794978,0.7797446008575155,0.544483123690318,0.1927819243069986,1.8052047930876833,0.9115525796672221,0.40472672959046063,5.753609617355872,0.21114245775082563,0.4649023089105006,1.713228568184751,1.5170390596704202,1.4389259119018736,0.8641860795502074,8.645779566321988,0.05,0.3,1.2,0.1,1.2,0.4,0.0
radio,8,17.673499449801387,0.0,0.3420489844563678,0.859938640621928,0.16888864227977818,0.8316148043412193,0.08322834772378496,0.9879816384890379,0.6597224246655706,4.300717699794422,0.05412297934844204,0.7319689719155128,0.3411859370737722,1.8502402367535944,1.16212227940079,0.6937396090696741,8.31823942333275,0.05,0.3,1.2,0.1,1.2,0.4,0.0
radio,9,20.577711914584196,0.0,0.06140193551484875,0.9834236852965781,0.9646068738858005,1.5654704545005724,0.16545999984487714,0.9733166616763207,0.9814139887090418,11.440438094774846,0.20867025728410485,0.6577681106870199,0.5339513261837872,0.6631379946851044,1.0413448049430756,0.8778229206100934,3.194508718922974,0.05,0.3,1.2,0.1,1.2,0.4,0.0
