episode_id,episode_len,episode_return,local_data_rate_Mbps,local_served_throughput_Mbps,local_demand_Mbps,local_power_mW,local_channels,users_in_cov,assoc_users,local_avg_latency_ms,local_util,local_mec_queue_cycles,local_cpu_used_cycles_per_s,local_offload_frac,local_cpu_util_frac,total_throughput_Mbps,avg_throughput_Mbps,avg_latency_ms,p95_latency_ms,deadline_satisfaction,blocking_rate,avg_qoe,total_radio_power_mW,total_cpu_power_W,step_energy_J,energy_per_task_J,jain_fairness,jain_fairness_bs,jain_fairness_users,num_users,num_base_stations,mean_assoc_frac,mean_channel_reward,env_step_walltime_ms,U_norm,D_norm,E_norm,L_norm,V_fair,global_reward,reward_w_lat,reward_w_thr,reward_w_dead,reward_w_qoe,reward_w_eng,reward_w_block,reward_w_fair,svc_safety_avg_throughput_Mbps,svc_safety_avg_latency_ms,svc_safety_p95_latency_ms,svc_safety_deadline_satisfaction,svc_safety_avg_qoe,svc_infotainment_avg_throughput_Mbps,svc_infotainment_avg_latency_ms,svc_infotainment_p95_latency_ms,svc_infotainment_deadline_satisfaction,svc_infotainment_avg_qoe
1,200,-32.86148272082711,11.125407293474785,9.996072079547343,44.63931075216582,20032.181483507156,52.785,21.41,9.395,766.8671635250804,0.23970341985903335,19063590277.0745,25617351077.497,0.5044598810374736,0.5123470215499402,44.34102594336981,0.44341025943369816,1095.8811968705863,2079.159128058999,0.018200000000000004,0.6026,0.12661319480122107,75664.84278440475,208823.86705880528,208899.53190158968,84994.57411340484,0.5026852163155632,0.5026852163155632,0.24627326762109603,100.0,4.0,0.26754779656988975,0.4301178803213034,7.465459108352661,0.044341025943369805,1.0,0.9796440291813826,1.0,0.4973147836844368,-0.16430741360413556,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.2958695540082747,1095.6978226475303,2006.4711165402248,0.012894736842105261,0.1693806518648399,0.5338384337266995,1095.9935875234273,2062.8971089535776,0.021451612903225805,0.10040088240739017
2,200,-32.14711359928821,16.908502808303833,16.064227309695212,89.7480113456387,20810.19742488861,52.74,32.23,13.495,1132.2535790836623,0.18634826537259375,55049089156.96752,22810626186.430458,0.542048556804657,0.4562125237286091,50.081571524792906,0.5008157152479291,1205.1982470769321,2345.6490835676495,0.0137,0.5738,0.11268404878116672,81504.21293973923,204692.18645129376,204773.6906642335,81125.7213197306,0.5182194904234229,0.5182194904234229,0.263604124345464,100.0,4.0,0.2778889114657094,0.4403845386486542,7.759934663772583,0.0500815715247929,1.0,0.9873440626114252,1.0,0.4817805095765772,-0.1607355679964411,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.322472696436689,1199.3121067972083,2152.482484068684,0.009782608695652173,0.1706325664084213,0.5540870065811566,1206.9564448228239,2331.47244435751,0.014870129870129868,0.09537475130809067
3,200,-33.61213445393622,15.575049747390509,13.140125989235887,52.12367178983875,18312.764304876328,48.345,23.34,10.52,803.5990656020888,0.19834322956384276,28545664353.323418,24344833008.944992,0.49148369163274763,0.48689666017889977,46.811525320437624,0.4681152532043762,1181.5159190563868,2233.6203028790255,0.01405,0.60065,0.11502899100694094,76916.13010168076,196142.5178528849,196219.43398298658,74521.55341031756,0.501013173898704,0.501013173898704,0.23939595600994856,100.0,4.0,0.2752224848137691,0.41772439289792834,7.369776964187622,0.04681152532043762,1.0,0.9878828911553006,1.0,0.49898682610129597,-0.16806067226968108,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.2820152271469835,1183.5981700607147,2225.704458058887,0.010909090909090908,0.15437299410962474,0.5597764600684652,1180.4903327408224,2208.3125788615803,0.015597014925373132,0.0956506014190519
4,200,-34.75585023677273,13.1018684780235,11.293051495594842,53.203767264802046,21524.10119175911,42.235,30.765,10.08,748.284996427664,0.3632674437556142,18285263584.082256,26676721513.27133,0.5197094124555588,0.5335344302654267,41.36484339386991,0.4136484339386992,1113.4588893305581,2079.27769695835,0.0163,0.61265,0.11410055805660066,80428.8824558258,210194.70421266847,210275.1330951243,77301.3032556457,0.4868905212749722,0.4868905212749722,0.24429616271167148,100.0,4.0,0.25194838920427126,0.420259384019459,7.528153657913208,0.04136484339386991,0.9996731445833218,0.9980658965967553,1.0,0.5131094787250278,-0.17377925118386373,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.35146231818336643,1104.0064666186067,2044.0834327537405,0.022333333333333334,0.19774253851250997,0.4402996264052703,1117.50992763568,2065.4053229882393,0.013714285714285714,0.0782539950040681
5,200,-33.492176319865465,16.61657299769435,13.664803676946867,53.4827308387928,20136.703723669052,53.705,27.425,11.96,952.5598429678249,0.3476662655597746,34429598836.694786,24467067547.142506,0.4914760273694992,0.48934135094285014,44.83618468839057,0.44836184688390573,1174.633820055803,2235.3141241757694,0.015899999999999997,0.5949,0.11205240742930704,79346.28180265427,198975.5014993113,199054.84778111393,78263.15115542854,0.5032391150646771,0.5032391150646771,0.24805354023060538,100.0,4.0,0.2604875211877593,0.40231680873371667,7.871111631393433,0.044836184688390575,1.0,0.9810274148220863,1.0,0.4967608849353229,-0.16746088159932732,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.3322146065996448,1181.898184524011,2161.973491394572,0.015689655172413795,0.16943114395498646,0.4958022689718433,1171.6666852730139,2229.8509641766573,0.015985915492957747,0.08861602208783236
6,200,-33.36334135844418,11.43322967133981,10.231388074801977,49.61917195404843,19792.12362766266,46.92,23.415,8.705,699.1877102091998,0.20018783186727554,21560419351.495102,21777115292.847157,0.4894012117385864,0.43554230585694315,45.32689674667833,0.4532689674667833,1134.1023053294537,2140.473005310184,0.0171,0.5964,0.11416699524161172,77802.71060466766,188361.8396477701,188439.64235837478,70777.77580559417,0.5067743679767271,0.5067743679767271,0.25021708619298644,100.0,4.0,0.2668128119060781,0.4161867984630765,7.571954727172852,0.04532689674667832,1.0,0.9896462237276137,1.0,0.4932256320232728,-0.16681670679222096,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.31787526712532654,1139.4950390629058,2046.4200025385205,0.013709677419354837,0.1667853888792371,0.5140980212433798,1131.679482927468,2121.575207503907,0.018623188405797103,0.0905268473754322
7,200,-33.69521004366369,11.94874888540212,10.529456618821452,59.8628401910576,20728.339451551437,45.275,31.015,11.53,903.482735774976,0.1881617389312544,24692699554.732357,23960722602.903843,0.4922245754301548,0.47921445205807683,45.157293327456685,0.4515729332745668,1170.3388786095873,2294.8816568399225,0.01505,0.6015999999999999,0.1122202739458241,79736.06427907944,188287.7544821521,188367.49054643116,77103.92694493361,0.5108268761122468,0.5108268761122468,0.2406134389213291,100.0,4.0,0.24729603554604665,0.42793387043946685,7.810448408126831,0.04515729332745669,1.0,0.9892401602305472,1.0,0.4891731238877533,-0.16847605021831846,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.28826851598411357,1179.1059325084518,2204.628371029843,0.01193548387096774,0.16015521021390447,0.5249415845210024,1166.4000572927062,2276.6392733908374,0.01644927536231884,0.09068428808625174
8,200,-31.675391096389603,13.06867520756735,11.556690967654136,55.52350028183642,22508.603364229202,50.025,23.965,10.055,806.3899801537849,0.3019688909439637,19937685584.473488,26443422541.022305,0.5435268203914165,0.528868450820446,47.737283800779124,0.47737283800779123,1189.587776790269,2289.6459883624657,0.017650000000000002,0.5661499999999999,0.11380535513454391,82077.42235660553,205417.6311301785,205499.7085525351,71940.11938430731,0.5239732662353692,0.5239732662353692,0.26849486530490035,100.0,4.0,0.28590144292836756,0.43005763261721364,7.8383708000183105,0.04773728380077912,1.0,0.990741475721634,1.0,0.4760267337646308,-0.15837695548194788,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.33799690925539766,1201.0139941496175,2179.546404512846,0.014545454545454545,0.18555320993094426,0.5166839973994919,1186.364997535068,2286.9459778248474,0.018525641025641023,0.09356878070478998
9,200,-33.84685270598633,12.694799903847779,11.801756810953504,62.94645847714602,20936.77141070366,52.95,27.665,10.45,941.1207892665662,0.20473708554855502,23947355491.803165,22947390794.75403,0.43089374594390395,0.45894781589508055,43.340574440521486,0.4334057444052148,1178.2502303261824,2336.048606547888,0.01685,0.6127,0.11274502296447615,81742.16198325157,198080.9470067489,198162.68916873218,79369.16011579635,0.5182426076894859,0.5182426076894859,0.23323711027521363,100.0,4.0,0.2539276633395124,0.40596054746358357,7.500814199447632,0.04334057444052147,1.0,0.97428407040759,1.0,0.48175739231051407,-0.16923426352993162,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.310106222926894,1176.114004303663,2234.9917855867966,0.0228125,0.1645341401760528,0.491429048630307,1179.2555131603092,2310.482382120304,0.014044117647058823,0.08837367368844008
10,200,-34.571392663711954,12.94378285989383,10.358047353774905,47.92647157927773,20169.473522901535,53.33,20.88,9.87,790.360012937031,0.21405845728918507,20410217541.947678,24459371469.914913,0.47390002608299253,0.4891874293982983,45.2434255334108,0.452434255334108,1171.7929026718298,2235.6770307975003,0.015600000000000001,0.61315,0.11481993876626437,79469.85538005829,203004.29325436812,203083.76310974816,87020.30507904603,0.48278208861755784,0.48278208861755784,0.2411163294183367,100.0,4.0,0.27242285002606437,0.3905023883803442,7.262445688247681,0.045243425533410805,1.0,0.992883629404363,1.0,0.5172179113824421,-0.17285696331855982,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.3116202398701268,1167.4938339065106,2180.894142075997,0.016470588235294115,0.16440972891767103,0.5249748087549468,1174.0075744600244,2217.4148261128425,0.015151515151515152,0.08927368323372153
