episode_id,episode_len,local_data_rate_Mbps,local_served_throughput_Mbps,local_demand_Mbps,local_power_mW,local_channels,users_in_cov,assoc_users,local_avg_latency_ms,local_util,local_mec_queue_cycles,local_cpu_used_cycles_per_s,local_offload_frac,local_cpu_util_frac,total_throughput_Mbps,avg_throughput_Mbps,avg_latency_ms,p95_latency_ms,deadline_satisfaction,blocking_rate,avg_qoe,total_radio_power_mW,total_cpu_power_W,step_energy_J,energy_per_task_J,jain_fairness,jain_fairness_bs,jain_fairness_users,num_users,num_base_stations,mean_assoc_frac,mean_channel_reward,env_step_walltime_ms,U_norm,D_norm,E_norm,L_norm,V_fair,global_reward,reward_w_lat,reward_w_thr,reward_w_dead,reward_w_qoe,reward_w_eng,reward_w_block,reward_w_fair,svc_safety_avg_throughput_Mbps,svc_safety_avg_latency_ms,svc_safety_p95_latency_ms,svc_safety_deadline_satisfaction,svc_safety_avg_qoe,svc_infotainment_avg_throughput_Mbps,svc_infotainment_avg_latency_ms,svc_infotainment_p95_latency_ms,svc_infotainment_deadline_satisfaction,svc_infotainment_avg_qoe,episode_return
128355989445507485,200,8.474770691016783,6.693238565319707,17.3999607876758,19116.935008764267,47.685,18.35,4.735,587.3186200909174,0.3934769545145562,6836303647.607619,27525743149.220947,0.5057956637442111,0.5505148629844189,66.8497204729808,0.6684972047298081,1029.6870044082432,2341.01133129856,0.03465,0.5188,0.1930619309395063,115556.49212002754,250944.2496790564,251059.80617117643,85671.92690200079,0.6167198859160979,0.6167198859160979,0.3240378448929797,100.0,6.0,0.2557727326980781,0.492642230535332,15.50696611404419,0.06684972047298081,1.0,1.0,1.0,0.3832801140839021,-0.10718451598464408,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.4301626044223219,1039.9468896915155,2223.239831796842,0.031052631578947363,0.2472590564202389,0.8145732500795577,1023.3986876217215,2271.8608231869225,0.036854838709677415,0.15984433790292826,-21.436903196928817
854949519964969681,200,23.666874314346604,20.635546299992228,77.37862737881785,18364.43279981613,53.125,29.77,13.55,1115.4745374493918,0.3184093621266247,27994816771.955204,24004618309.43823,0.5205476412177086,0.48009236618876455,83.15882712739105,0.8315882712739104,1115.6541154390975,2663.6491720874656,0.03440000000000001,0.44435,0.19704032011649267,119914.29975628853,233315.0595769511,233434.9738767074,73980.55294608325,0.5854749467760741,0.5854749467760741,0.39018693544445726,100.0,6.0,0.24300330524462152,0.5074093724443904,18.140931129455566,0.08315882712739105,1.0,1.0,1.0,0.4145250532239258,-0.08938276114922747,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.5387914873571773,1110.8650959192382,2476.5417848706084,0.032115384615384615,0.27362740218268394,0.9344628169743843,1117.3367439190479,2689.9065500666793,0.035202702702702704,0.17013134533647956,-17.876552229845494
282341088111907415,200,19.823812095869027,16.502862759864268,63.460348860992966,20558.18589925766,47.74,34.975,11.355,950.3865532292242,0.33770917459617567,19576612738.29645,24569095954.298973,0.5243710023164749,0.49138191908597945,85.20550055948337,0.8520550055948337,1102.8789431632065,2564.0880215924485,0.03640000000000001,0.4276,0.20065210455349508,123138.44048976898,231114.24772831603,231237.3861688058,74857.75557921191,0.6361428382532259,0.6361428382532259,0.3940421562624573,100.0,6.0,0.25111771671916844,0.5263472419100343,18.653123378753662,0.08520550055948338,1.0,1.0,1.0,0.3638571617467742,-0.07886843464078389,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.6036729015335444,1101.5831282195825,2381.156427837565,0.035,0.3086788171702294,0.9262470626521019,1103.2660047697436,2557.9405255808592,0.03681818181818182,0.1683843852004446,-15.773686928156778
160876273137374942,200,16.60139234856942,13.44751348127129,48.26142302922237,19489.092016220093,50.23,27.02,8.915,882.3132995579281,0.2787152627620414,15418473276.56183,25305883742.8689,0.4924920943379402,0.506117674857378,81.32250064643954,0.8132250064643952,1093.8757229483858,2674.054663243894,0.03185,0.46895,0.1888003991061168,115156.62425756454,234712.25529971678,234827.41192397434,87933.40039462139,0.6463162410356992,0.6463162410356992,0.36958451621510946,100.0,6.0,0.2450424626879881,0.5137675490619158,17.299925088882446,0.08132250064643952,1.0,1.0,1.0,0.3536837589643008,-0.0917515059706632,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.47663650911201894,1116.517142226906,2434.065518049004,0.026521739130434784,0.2682072005021835,0.9137644277514687,1087.1127016054515,2638.668977039866,0.033441558441558446,0.16508148440339554,-18.35030119413264
118168890076913833,200,15.865394568763428,13.345559808392641,39.77811682077911,20604.241919517517,50.975,26.725,8.145,747.4420883413155,0.362815991658656,12628745658.58163,24879534229.636192,0.468682276904583,0.4975906845927238,74.93211845441908,0.7493211845441909,1097.0494392543048,2704.6934531190914,0.0349,0.47475,0.18859763052311684,124403.69178652763,235212.3208887119,235336.7245804984,76740.46576070575,0.6380787226586082,0.6380787226586082,0.361562833373097,100.0,6.0,0.2431901743950042,0.5125350517527891,17.673380374908447,0.07493211845441908,0.9991952906256688,1.0,1.0,0.36192127734139184,-0.09494226116601219,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.4370538058321245,1094.9399825909468,2398.8300839691565,0.028448275862068967,0.24325912582638382,0.8768670152857391,1097.9110483139862,2691.309608815805,0.03753521126760563,0.16627110427248668,-18.988452233202437
853931770133622125,200,13.698012248573152,11.460671737954018,31.985238254658736,19522.954457998276,54.905,23.195,7.405,702.8814449829017,0.4108108913413311,11990758423.853672,24034598544.24,0.48935947626829146,0.4806919708848,65.06724023148031,0.6506724023148033,1001.2616739167465,2231.7636295640928,0.036000000000000004,0.52445,0.19142861460033297,119540.73091745377,247985.83571314783,248105.37644406527,83426.51864472122,0.6164777104037367,0.6164777104037367,0.32143181523835523,100.0,6.0,0.23879700129930032,0.4810581552329791,15.609595775604248,0.06506724023148032,1.0,1.0,1.0,0.3835222895962634,-0.10909347251008236,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.4590367385937409,1002.956000806796,2165.81640050613,0.03310810810810812,0.2632634575365504,0.7632203318017764,1000.2665930448126,2201.463632597055,0.037698412698412696,0.14923989732033227,-21.818694502016474
628764812031418704,200,11.157206380082584,9.694515892860935,39.438051648437586,20799.659460783005,51.83,27.145,6.725,761.0997799739038,0.34445449754762647,10359572356.433592,24333881743.252274,0.48924207255244256,0.48667763486504556,73.86023754012089,0.7386023754012089,1100.0506192083506,2672.2858724652538,0.03265,0.44435,0.21188848247753278,125404.48117852211,231886.60227430705,232012.00675548558,84388.38620949537,0.6277450392920499,0.6277450392920499,0.38626798069404217,100.0,6.0,0.2497823361981228,0.5139089751824968,16.801244020462036,0.0738602375401209,0.9998558479259814,1.0,1.0,0.37225496070795006,-0.08381204965069518,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.5563975952004769,1109.1880220650955,2446.1599917879125,0.03513157894736842,0.30041610998832746,0.8502762729435931,1094.4502755219585,2537.669771816037,0.03112903225806451,0.1576296140031748,-16.762409930139036
680791512660942722,200,20.475997804130046,16.0751755785475,43.61878360745926,19634.46148633957,47.965,25.75,9.705,832.549961109163,0.329370128188542,16002741186.903599,26225719980.895523,0.5281961126625538,0.5245143996179104,72.46526555622239,0.7246526555622239,1077.9852505538572,2641.040907456961,0.03735,0.4828,0.20344917508989926,120746.83929681778,240719.93183720618,240840.678676503,78180.03228571899,0.6407323034531192,0.6407323034531192,0.36582479243886,100.0,6.0,0.26079102195052556,0.515119799045511,16.521403789520264,0.07246526555622239,0.9994914059843297,1.0,1.0,0.359267696546881,-0.09214071865771757,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.576534905822514,1109.792850709666,2527.0900513579727,0.036551724137931035,0.31744848281782934,0.7851514547516828,1064.9934138704987,2582.188353223236,0.03767605633802817,0.15688607756722361,-18.428143731543514
36642940499726745,200,17.059648656258933,15.516695117935482,51.58489496572824,22068.410974740982,52.965,26.85,9.49,905.5559937987272,0.32731308296051126,14584973625.354424,26108184494.07816,0.47489151418209075,0.5221636898815631,75.6778954097674,0.7567789540976739,1105.5101861682333,2607.346041650328,0.034350000000000006,0.4567,0.2053073230514049,123467.6407635212,234042.7052851619,234166.17292592544,83522.2743732321,0.6584383159427897,0.6584383159427897,0.37186215012717455,100.0,6.0,0.2560860585760602,0.5210050585826914,18.866828680038452,0.0756778954097674,1.0,1.0,1.0,0.3415616840572104,-0.08433060286736936,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.5019315564832062,1091.256444567944,2458.2474716364627,0.0375,0.28953808357934335,0.8767071412103646,1112.217829274252,2597.962308080007,0.03286764705882353,0.16566931809708094,-16.86612057347387
108023259460586094,200,21.991456111166368,19.09094546247739,54.25626493002711,19886.48071885109,50.83,30.365,10.18,969.144298975815,0.3791521724967375,16296849109.973122,23914302416.1458,0.49849299490451815,0.47828604832291605,84.28883745231262,0.842888374523126,1078.7616765817181,2681.017427092769,0.038400000000000004,0.4511,0.21445768131522092,122174.24498200417,236647.7172821659,236769.89152714788,74367.68692009298,0.6514147201013532,0.6514147201013532,0.3836161575418784,100.0,6.0,0.24252860131652654,0.5167581388007334,17.77211904525757,0.08428883745231261,0.9991993722125592,1.0,1.0,0.3485852798986469,-0.07761444680211647,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.6083618160393572,1091.0581292207023,2570.1067123447206,0.04903846153846153,0.33544733771345464,0.9252895977741801,1074.441301330183,2610.3173721811454,0.03466216216216217,0.1719478020401658,-15.522889360423296
