episode_id,episode_len,local_data_rate_Mbps,local_served_throughput_Mbps,local_demand_Mbps,local_power_mW,local_channels,users_in_cov,assoc_users,local_avg_latency_ms,local_util,total_throughput_Mbps,avg_throughput_Mbps,avg_latency_ms,p95_latency_ms,deadline_satisfaction,blocking_rate,avg_qoe,total_radio_power_mW,step_energy_J,energy_per_task_J,jain_fairness,jain_fairness_bs,jain_fairness_users,num_users,num_base_stations,mean_assoc_frac,mean_channel_reward,env_step_walltime_ms,U_norm,D_norm,E_norm,V_fair,global_reward,svc_safety_avg_throughput_Mbps,svc_safety_avg_latency_ms,svc_safety_p95_latency_ms,svc_safety_deadline_satisfaction,svc_safety_avg_qoe,svc_infotainment_avg_throughput_Mbps,svc_infotainment_avg_latency_ms,svc_infotainment_p95_latency_ms,svc_infotainment_deadline_satisfaction,svc_infotainment_avg_qoe,episode_return
128355989445507485,200,20.643175869293245,18.4558561054634,105.26433313906891,20392.505127191544,52.11,37.6,19.565,9.829224566058421,0.18258260581836785,61.42624397641357,0.6142624397641356,444.87874727712335,970.9098697610831,0.55725,0.43829999999999997,0.38840659470649286,79932.11632966995,79.93211632966995,1.7604472844110381,0.6540634249870227,0.6540634249870227,0.33397155127040795,100.0,4.0,0.368007755941912,0.5244113203486153,8.116387128829956,0.06142624397641356,0.7167874963068323,0.2497878635302186,0.34593657501297725,0.134777828336161,0.41487041093215177,450.15261322190617,962.1476909161341,0.550344827586207,0.4653484835754582,0.6957042543574812,442.7246330179867,972.8676626302698,0.5600704225352112,0.3569796260135352,26.9555656672322
854949519964969681,200,16.10580324902423,13.902571453234266,68.53217170221451,20928.59878540039,51.195,33.155,13.995,5.84088084740608,0.241682562865536,62.636973352871024,0.6263697335287103,439.4415198677964,980.4473968132036,0.5630999999999999,0.43385000000000007,0.381018975991674,81047.23933935165,81.04723933935165,1.6668526309261364,0.67431072109821,0.67431072109821,0.3472962708446808,100.0,4.0,0.3713416500449974,0.5086595280765319,8.183979988098145,0.06263697335287104,0.7071782228202962,0.2532726229354739,0.32568927890179006,0.1397762874502665,0.39675818242274646,460.6095921745751,980.255919899045,0.5417241379310345,0.44188343306012684,0.7201547332762169,430.7954058269995,972.7095019627855,0.571830985915493,0.35615884563977074,27.9552574900533
282341088111907415,200,19.770152601667743,15.00757317545469,56.47509957265058,20216.078293323517,47.15,31.03,12.85,4.45984396309813,0.2636581083440796,62.19363801016383,0.6219363801016383,462.123322839694,955.7271316145337,0.54,0.45640000000000003,0.3827346724310469,78614.04967308044,78.61404967308044,2.115735439628675,0.6450364613990246,0.6450364613990246,0.3426962535975702,100.0,4.0,0.35309422863807,0.4976422720556107,8.04731011390686,0.06219363801016384,0.7226745792240638,0.2456689052283764,0.3549635386009754,0.12372923412287616,0.4342705758539506,463.4690981276971,949.6126711268156,0.5385294117647058,0.4564019429911403,0.7186127035019624,461.43004466102576,949.2236492395439,0.5407575757575757,0.3447848663849382,24.74584682457523
160876273137374942,200,17.856274444576655,16.447992150088577,90.16462264025421,20499.69238638878,52.125,35.96,16.435,8.04408974670978,0.24415551675015812,62.152803618313044,0.6215280361831305,407.49141630041805,946.0849782308183,0.595,0.40120000000000006,0.4083778501550653,80190.78729748726,80.19078729748726,1.702412329839711,0.6951227143733862,0.6951227143733862,0.3620691040566314,100.0,4.0,0.3938137113831409,0.5393544986225226,8.673621416091919,0.062152803618313046,0.6596380486745901,0.2505962103046477,0.30487728562661376,0.17519872222431787,0.4386712097737843,403.9292995918965,923.5185905895868,0.5980882352941177,0.48099681396796784,0.7157270073637028,409.3264461199594,947.1367019747502,0.5934090909090909,0.3709680809181154,35.03974444486357
118168890076913833,200,14.702691776068692,13.895942968156728,65.09696513733518,20485.777938365936,44.84,29.55,12.24,7.65774349772202,0.2013857052709119,59.7625916475412,0.597625916475412,447.9773424020617,975.8475603188937,0.5543,0.44075000000000003,0.3807721881697266,81498.53371977806,81.49853371977807,1.7918321917182527,0.6710009801880316,0.6710009801880316,0.33590023792934565,100.0,4.0,0.35930874071461183,0.5192445191518359,8.259570598602295,0.059762591647541205,0.7356486823923296,0.2546829178743064,0.3289990198119684,0.12749021933473828,0.3868560110065883,482.7461147604397,979.8609779120136,0.5194285714285715,0.4215700777184165,0.7111174040355479,429.2556957475505,973.2843543684708,0.573076923076923,0.35880409379735523,25.498043866947658
853931770133622125,200,19.02436910600269,14.876355211632271,68.27911228869065,19403.289532661438,49.96,28.4,13.53,8.506418763147462,0.23408895228438292,58.21512600471475,0.5821512600471475,440.26402758135373,975.6386208349782,0.56215,0.43339999999999995,0.38560394061017417,81163.0523443222,81.16305234432221,1.6718279665398206,0.6808192437010934,0.6808192437010934,0.3540252337538793,100.0,4.0,0.3924882411971613,0.5228978074036285,8.055979013442993,0.058215126004714735,0.7105562640390437,0.2536345385760069,0.31918075629890663,0.1388464400571772,0.4949505123709226,426.6856869557343,919.7914918094943,0.575,0.49141385312539254,0.6144035913794498,445.28615356617195,977.3458585632619,0.5573972602739726,0.3464687674881072,27.76928801143544
628764812031418704,200,15.431193585421484,13.227854126878654,65.6036199037658,19240.790420770645,50.385,27.43,10.395,6.365756844741927,0.22032794409062695,64.71769454012365,0.6471769454012363,400.9007304646958,975.28699785029,0.60125,0.39415,0.41287048677500693,82583.81180167198,82.58381180167198,1.6162697630207217,0.7120744902836242,0.7120744902836242,0.36861676822785805,100.0,4.0,0.3873982836876228,0.539835691628978,8.511693477630615,0.06471769454012363,0.6603014701150149,0.25807441188022495,0.287925509716376,0.18114183982138735,0.49831627890488717,396.5226016945653,943.8356802496596,0.605,0.5099831125983788,0.7050672045942612,402.6033360975244,972.5541427845403,0.5997916666666667,0.3751044656214735,36.22836796427747
680791512660942722,200,21.834499394350683,17.34283327643087,68.52049695989308,22235.296607017517,51.69,26.165,13.87,5.772130617031462,0.2608610367331158,75.06737482230834,0.7506737482230835,366.57916929760364,951.6950915167408,0.6362,0.36144999999999994,0.4461622379694613,85800.960958004,85.800960958004,1.5116669023548202,0.7184913664004812,0.7184913664004812,0.3884968132666604,100.0,4.0,0.44587546041513676,0.5484753672383031,8.572677373886108,0.07506737482230834,0.6134451372803672,0.2681280029937625,0.28150863359951894,0.22012006144186874,0.5798078137391972,350.86330422753673,902.1100115816162,0.6516071428571428,0.5847572059668031,0.8171216116334835,372.6908946026297,952.3867156480479,0.6302083333333333,0.39226419485938385,44.02401228837375
36642940499726745,200,24.128990908016554,19.065809334375476,71.97974869134917,20585.172510147095,55.09,29.03,14.97,7.2665142619950185,0.31261835835804047,69.3385268703331,0.6933852687033308,399.8944899007406,961.0476803195968,0.6027,0.39324999999999993,0.4176425669231364,83728.50530743599,83.728505307436,1.6402944362232466,0.7022390288847257,0.7022390288847257,0.3680938780926922,100.0,4.0,0.4007794581285776,0.5315446251851261,8.476052284240723,0.06933852687033308,0.6531090830477743,0.26165157908573744,0.2977609711152743,0.18515502669687264,0.4606838063223833,408.47124493232695,951.3233760962473,0.5936206896551723,0.5016144386647645,0.7884323448870982,396.39130826812084,953.1268242550898,0.6064084507042253,0.38334419677514747,37.03100533937453
108023259460586094,200,19.332888068552446,16.774650347128954,87.29303477161776,21453.354597091675,55.495,32.06,17.31,10.992940308679806,0.20070019805720818,69.0374118447544,0.690374118447544,392.821290884111,917.84634886649,0.6098,0.38669999999999993,0.4216397540376231,81232.88014531136,81.23288014531136,1.6598891825971749,0.7074231345753925,0.7074231345753925,0.3610358452900823,100.0,4.0,0.4260600195412037,0.532531032951781,8.371587991714478,0.0690374118447544,0.6297718986082763,0.253852750454098,0.2925768654246075,0.19622396700736794,0.45871290951728183,385.77367488027744,937.5723382248589,0.6166666666666667,0.5082261350790307,0.7896574937033708,395.84169774289677,916.3542828884831,0.6068571428571429,0.38453130501987687,39.244793401473586
