episode_id,episode_len,local_data_rate_Mbps,local_served_throughput_Mbps,local_demand_Mbps,local_power_mW,local_channels,users_in_cov,assoc_users,local_avg_latency_ms,local_util,local_mec_queue_cycles,local_cpu_used_cycles_per_s,local_offload_frac,local_cpu_util_frac,total_throughput_Mbps,avg_throughput_Mbps,avg_latency_ms,p95_latency_ms,deadline_satisfaction,blocking_rate,avg_qoe,total_radio_power_mW,total_cpu_power_W,step_energy_J,energy_per_task_J,jain_fairness,jain_fairness_bs,jain_fairness_users,num_users,num_base_stations,mean_assoc_frac,mean_channel_reward,env_step_walltime_ms,U_norm,D_norm,E_norm,L_norm,V_fair,global_reward,reward_w_lat,reward_w_thr,reward_w_dead,reward_w_qoe,reward_w_eng,reward_w_block,reward_w_fair,svc_safety_avg_throughput_Mbps,svc_safety_avg_latency_ms,svc_safety_p95_latency_ms,svc_safety_deadline_satisfaction,svc_safety_avg_qoe,svc_infotainment_avg_throughput_Mbps,svc_infotainment_avg_latency_ms,svc_infotainment_p95_latency_ms,svc_infotainment_deadline_satisfaction,svc_infotainment_avg_qoe,central_reward,episode_return
128355989445507485,200,7.793921172275514,6.764506556555282,26.229413183256202,15196.412137895823,35.175,17.495,5.685,743.3576753496955,0.1966364538857288,14631305399.811487,15734332471.154629,0.28765270626172423,0.3146866494230926,27.583877155433875,0.2758387715543387,1087.8682806422185,1721.0954360818612,0.007050000000000001,0.7719499999999999,0.06654730073877152,52836.66814221069,121108.79263166651,121161.62929980874,52248.439334060866,0.3697041696106511,0.3697041696106511,0.13640423605933566,100.0,4.0,0.16210404335083517,0.4491368387072869,9.740537405014038,0.027583877155433877,1.0,0.9356996023474996,1.0,0.6302958303893489,-0.23455520978804828,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.1607137797621595,1082.0582959810586,1658.8497511000053,0.004868421052631579,0.08826476029123409,0.3463992503947067,1091.429238982929,1730.1113528859516,0.008387096774193548,0.05323659972274607,-0.23455520978804828,-46.911041957609655
854949519964969681,200,6.11393844608477,5.600026115728221,26.91145567583297,12803.502534003928,30.69,18.475,4.89,728.2125175078431,0.24567437528369454,19065004584.762432,15200522091.239693,0.3240106821106747,0.3040104418247938,22.90631124358737,0.22906311243587368,1086.8340099604786,1671.5119819941267,0.00515,0.8035999999999999,0.0530288917072574,51654.731349274516,117245.9901055534,117297.64483690268,33950.73004281026,0.3727658238812323,0.3727658238812323,0.12312232722612773,100.0,4.0,0.14149576381312998,0.4282189792817724,8.426159620285034,0.02290631124358737,1.0,0.9283437780452221,1.0,0.6272341761187676,-0.24605004562888447,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.14071962104201458,1086.5533943790726,1607.603516302244,0.0034615384615384616,0.07375988064178086,0.26010271752020253,1086.9326046242159,1652.7171282911336,0.0057432432432432436,0.04574503073026265,-0.24605004562888447,-49.21000912577689
282341088111907415,200,7.681618809291806,6.406479433647568,29.89790940853548,13072.118250466883,27.495,17.575,5.145,561.9836464224168,0.18125652342186155,19995102070.447956,14493770697.852598,0.33990532651077954,0.2898754139570519,21.581433281801065,0.21581433281801066,1097.1173266822193,1746.4545155180865,0.0052,0.8105499999999999,0.04954925746332131,51148.09236815199,107946.2590722334,107997.40716460155,45873.170589836314,0.371035015995419,0.371035015995419,0.11519686735672419,100.0,4.0,0.13364491554611255,0.4338209779221583,8.232821226119995,0.021581433281801066,1.0,0.9124010375571738,1.0,0.628964984004581,-0.2482473430547801,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.1297058477720004,1100.8995036359652,1700.5242057951996,0.004032258064516129,0.06920783032706815,0.25450075363578334,1095.4180877609708,1721.999750993448,0.00572463768115942,0.04071714501729014,-0.2482473430547801,-49.64946861095602
160876273137374942,200,5.809713079444073,4.988317016939775,30.17106174177038,11548.865704610944,32.755,16.065,4.74,596.5633157849624,0.16658301722847724,12365198948.07681,15664611510.583199,0.3611974797770381,0.31329223021166397,22.281693497577344,0.22281693497577343,1097.144708595979,1721.2278473564315,0.005849999999999999,0.79315,0.05276670012751881,46861.09280353412,122249.87555425533,122296.73664705886,46570.02643865945,0.3483053665738811,0.3483053665738811,0.1224418662108318,100.0,4.0,0.1352580511784214,0.4435093495404548,9.088094234466553,0.022281693497577342,1.0,0.9324969502657906,1.0,0.6516946334261189,-0.24673979276837257,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.16522162420976183,1099.7158164948044,1682.4740278300583,0.0062962962962962955,0.08938422548268037,0.24411931019059963,1096.193750879975,1691.5729573188892,0.005684931506849314,0.03922323184547275,-0.24673979276837257,-49.347958553674516
118168890076913833,200,5.3724127800254795,4.660832703079362,22.732922917265913,12413.4592641145,28.93,15.635,4.285,540.8630608458003,0.26645867025153924,12540665471.781971,15292008912.190796,0.3516357982298359,0.3058401782438159,22.286302229436853,0.2228630222943685,1105.6041797182636,1781.369089948979,0.004699999999999999,0.7951,0.05006011019771753,49524.459600355476,109946.90743064792,109996.43189024828,47574.66980004097,0.3507514239334462,0.3507514239334462,0.12146722957270414,100.0,4.0,0.14167654847747868,0.46722830629503265,8.16746473312378,0.02228630222943685,1.0,0.9010767011786258,1.0,0.6492485760665538,-0.24635476893744035,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.14317885360739832,1101.2571517117476,1666.5486718004697,0.005384615384615385,0.07613774670560007,0.25086016264384453,1107.1315138827151,1765.1759080796116,0.004459459459459459,0.04089769737062368,-0.24635476893744035,-49.27095378748807
853931770133622125,200,11.20535863773648,9.762060561825102,43.351397133682624,13274.738228414208,30.895,21.905,7.805,748.0091054781614,0.20292302264824866,35259770171.88892,14604409429.244698,0.3129435945523437,0.29208818858489394,23.492057566244466,0.23492057566244462,1118.7040220227284,1780.154531460595,0.005299999999999999,0.78755,0.055964204870269825,50184.98945720494,112615.31919437066,112665.50418382786,44518.39097280269,0.36123877411567534,0.36123877411567534,0.13192484547285363,100.0,4.0,0.14375403744939744,0.448673465811402,9.048497676849365,0.02349205756624446,1.0,0.9348229468481968,1.0,0.6387612258843247,-0.243230391199888,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.16736695948266697,1114.8853563632208,1739.8947830717236,0.005161290322580645,0.08434511163749427,0.2652707510475621,1120.419654420478,1761.0394913735936,0.00536231884057971,0.04321336269948784,-0.243230391199888,-48.646078239977605
628764812031418704,200,7.377289937215935,6.041663955883012,29.04362731119292,14565.711091831326,31.67,21.445,5.93,642.8491604916904,0.3493228254606974,18551435736.297142,15353027530.247347,0.28684279711684213,0.3070605506049469,23.758576649780654,0.2375857664978065,1093.9530419413263,1678.3516759974873,0.00455,0.78305,0.059469884045698175,49389.43767622113,113549.7356546994,113599.12509237562,50337.72948934115,0.3559317096011003,0.3559317096011003,0.13325539789214186,100.0,4.0,0.14200004645689387,0.4432307777018043,9.165722131729126,0.023758576649780653,1.0,0.9242671790291882,1.0,0.6440682903988997,-0.24135164978270573,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.18553774225920106,1097.8678447909142,1657.408359680492,0.007000000000000001,0.09456419312479206,0.25989206260006603,1092.2752692915028,1649.627482599432,0.0034999999999999996,0.04442946586894367,-0.24135164978270573,-48.27032995654115
680791512660942722,200,6.309860215998675,5.136176236216466,23.160596050133705,12344.893437623978,31.23,18.875,4.95,686.21099783172,0.17658100616252675,23113712648.487003,15701058451.202698,0.3223774725338444,0.31402116902405397,19.885491556236772,0.19885491556236773,1082.6777272607342,1705.1985033697285,0.0041,0.8149500000000001,0.048829284389694874,50970.83164937794,106001.93191512329,106052.90274677267,39557.42926765535,0.36012364938029906,0.36012364938029906,0.11485930041162966,100.0,4.0,0.11970971738511885,0.43086732835974745,8.615856170654297,0.01988549155623677,1.0,0.9294043408353633,1.0,0.639876350619701,-0.2520134193199588,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.14979819473906145,1098.027041361187,1631.1204952991438,0.003333333333333333,0.07889136457984125,0.21699918216824812,1077.0005836893338,1687.9508083113353,0.004383561643835616,0.037710432812517444,-0.2520134193199588,-50.402683863991754
36642940499726745,200,5.618495150993089,5.1310950203642,25.8330204732247,13151.940259709954,29.55,20.0,4.735,656.8135242269759,0.1822588534847911,14627220829.747734,14920914378.48285,0.3153804937831592,0.298418287569657,19.66614408970713,0.19666144089707133,1095.1876139826093,1737.6972499123187,0.0049,0.80265,0.05261772925341531,48005.23545136675,111615.60145341545,111663.60668886681,40040.66630215227,0.3578211880393846,0.3578211880393846,0.12127352575956579,100.0,4.0,0.13642991263005136,0.4214823018051015,8.777676820755005,0.01966614408970713,1.0,0.9366849328976145,1.0,0.6421788119606154,-0.24891696583800557,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.1592799955367723,1098.344346763476,1696.141206401496,0.0066176470588235285,0.08207931810268473,0.21591854911298292,1093.561418307617,1730.3612615738186,0.004015151515151515,0.037440547118943186,-0.24891696583800557,-49.78339316760111
108023259460586094,200,5.993203189535476,4.889840067748371,22.18301424163973,11915.17138350755,33.83,17.29,4.675,618.7017368458183,0.18306464619884488,12922536531.117676,14983700040.727852,0.2596881479397416,0.2996740008145571,21.820078342497936,0.2182007834249794,1119.8345161898876,1805.4386842499814,0.00555,0.78065,0.05501026393647526,50804.75739361718,113917.39765065956,113968.20240805318,43101.365161359754,0.3770037903701423,0.3770037903701423,0.13412287112718538,100.0,4.0,0.14552002200880068,0.45142336867454047,8.524577617645264,0.021820078342497943,1.0,0.942377440504404,1.0,0.6229962096298577,-0.241389390304514,0.2,0.29999999999999993,0.2,0.29999999999999993,0.05,0.2,0.1,0.15167981270027078,1120.3546876255227,1718.3717705272595,0.0036206896551724144,0.08091502328544033,0.24537132076324064,1119.6220518006846,1780.8514091645939,0.006338028169014085,0.044429446737602206,-0.241389390304514,-48.2778780609028
