algorithm,service_class,n_seeds,deadline_hits_pooled,deadline_candidates_pooled,n_rows_pooled,deadline_satisfaction_pct_pooled,deadline_satisfaction_pct_mean,deadline_satisfaction_pct_sd,deadline_satisfaction_pct_ci95,mean_latency_ms_mean,mean_latency_ms_sd,mean_latency_ms_ci95,p95_latency_ms_mean,p95_latency_ms_sd,p95_latency_ms_ci95,avg_qoe_mean,avg_qoe_sd,avg_qoe_ci95
Cent-PPO,infotainment,3,356982,690600,690600,51.69157254561251,51.69157254561251,2.214086341396848,5.500539294458183,146.51840530470875,9.582310579439815,23.80570029651965,451.34853968879696,14.518578206138455,36.069058568034784,0.7040206320914217,0.006120219948114736,0.0152046962604418
Cent-PPO,safety,3,139056,269400,269400,51.61692650334076,51.61692650334076,2.3354864061878664,5.802138113911393,146.8318023871989,9.847982208497251,24.465718475454445,453.8350769315153,15.167201019032113,37.68045700489641,0.9162741266799292,0.005865455040656869,0.014571774066704358
MAPPO,infotainment,3,356395,690600,690600,51.60657399362873,51.60657399362873,3.4434456404794265,8.554683572926166,147.18463883546724,15.085613909550489,37.477767031504584,450.7644569968441,21.14516545260924,52.53174245522779,0.7018478291280408,0.007492612616382841,0.01861418380304255
MAPPO,safety,3,138662,269400,269400,51.47067557535264,51.47067557535263,3.522098728759371,8.75008444534263,147.5325726755003,15.034048906661598,37.34966212461542,452.7181569947572,20.647908722677936,51.29638856171372,0.9151474162637819,0.009078309409206032,0.02255359093226838
MA-A2C,infotainment,3,170227,690600,690600,24.64914567043151,24.64914567043151,0.7409228451157761,1.840702933540477,226.54145999338402,18.174397917748166,45.15135116032701,488.1831826218429,62.65097591770746,155.64621326108227,0.6529795312812127,0.018497748410895947,0.04595466314513411
MA-A2C,safety,3,66531,269400,269400,24.69599109131403,24.69599109131403,0.6395812623504887,1.58893616738475,226.5280541064898,18.027699393753604,44.78690241206274,490.32277687896413,61.12662562515571,151.85921158642765,0.8634135666843633,0.018368236088648772,0.04563291073452682
Ours,infotainment,3,359184,690600,690600,52.010425716768026,52.010425716768026,3.080500897479767,7.653006080382155,144.92189533064487,12.467944745215863,30.97459150979924,446.6220562240608,14.43819662188123,35.869363527019026,0.706778293359028,0.00747428134843356,0.018568642733669146
Ours,safety,3,139855,269400,269400,51.91351150705271,51.91351150705271,3.209096836356492,7.972481884768765,145.24478337524243,12.53051159800181,31.130028732749885,449.092670336554,14.743716342191064,36.62837784158089,0.9171673347206536,0.006911263520400411,0.017169916031519388
