mobility,n_seeds,num_bs_mean,num_bs_sd,num_bs_sem,num_bs_ci95,num_users_mean,num_users_sd,num_users_sem,num_users_ci95,throughput_Mbps_mean,throughput_Mbps_sd,throughput_Mbps_sem,throughput_Mbps_ci95,mean_latency_ms_mean,mean_latency_ms_sd,mean_latency_ms_sem,mean_latency_ms_ci95,p95_latency_ms_mean,p95_latency_ms_sd,p95_latency_ms_sem,p95_latency_ms_ci95,deadline_satisfaction_pct_mean,deadline_satisfaction_pct_sd,deadline_satisfaction_pct_sem,deadline_satisfaction_pct_ci95,blocking_pct_mean,blocking_pct_sd,blocking_pct_sem,blocking_pct_ci95,avg_qoe_mean,avg_qoe_sd,avg_qoe_sem,avg_qoe_ci95,fairness_mean,fairness_sd,fairness_sem,fairness_ci95,energy_J_per_step_mean,energy_J_per_step_sd,energy_J_per_step_sem,energy_J_per_step_ci95,walltime_ms_per_step_mean,walltime_ms_per_step_sd,walltime_ms_per_step_sem,walltime_ms_per_step_ci95,mean_episode_return_mean,mean_episode_return_sd,mean_episode_return_sem,mean_episode_return_ci95,training_env_steps_mean,training_env_steps_sd,training_env_steps_sem,training_env_steps_ci95,training_iterations_mean,training_iterations_sd,training_iterations_sem,training_iterations_ci95,training_walltime_s_mean,training_walltime_s_sd,training_walltime_s_sem,training_walltime_s_ci95
Urban,3,4.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,197.12994218923745,0.4906425261316262,0.2832725945379724,1.218921974296895,145.01250578816004,12.485498152567509,7.208505719351427,31.01820011036919,447.27694963560793,14.528110488200884,8.387808501179407,36.09273998057499,51.98322916666667,3.1165842356941167,1.7993607474301425,7.742649296191903,0.0,0.0,0.0,0.0,0.765818718091134,0.007316107580949446,0.004223956681281425,0.01817568559955397,0.9698903319688469,0.0011202161198338454,0.0006467570783366287,0.002782995708082513,483010.5711489274,29005.310380477735,16746.223756097468,72059.0008224874,15.900340537230173,0.16942208414029156,0.09781588588506476,0.4209017569634337,104.64188029348414,2.56370326828307,1.480154772065554,6.369105984198078,200000.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,4594.469762404759,22.527851869985298,13.006461341400026,55.966803152044314
Highway,3,4.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,188.11151191984789,0.008756514320621562,0.005055575900173672,0.021754143098447313,144.10027962731564,13.132504926151384,7.582055254247589,32.62558375902737,444.0977372868122,14.988264961875673,8.653478810424357,37.235919321256006,52.1209375,3.264627404443539,1.8848335107593066,8.110438596797296,0.0,0.0,0.0,0.0,0.7672782229958456,0.007380040235135185,0.0042608682163855684,0.018334515935107102,0.973674173153352,0.0003283507691677082,0.000189573404967597,0.0008157343615755699,490963.6669070279,10106.102088580152,5834.76076129959,25106.975555872134,16.116154233614605,0.23358738714798527,0.13486174084919064,0.5803100708740673,104.09329802536298,2.3984167514193997,1.3847265570608982,5.958478375033045,200000.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,4561.485491673152,52.618615577174104,30.379371867866908,130.7224371474313
Mixed,3,4.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,192.27807072639925,0.01585096936519082,0.009151561429909433,0.03937916883290029,143.4881361314317,13.219996490766519,7.632568532629958,32.84294239590671,441.5659139255492,15.648867586040732,9.034877913313426,38.877079660987675,52.194375,3.253596252490274,1.8784646722096174,8.083033484517983,0.0004166666666666667,0.0007216878364870322,0.0004166666666666667,0.0017929166666666668,0.7693592888724341,0.00745522968565843,0.004304278865885384,0.018521311959904807,0.9733354747088176,0.0009670345538453545,0.0005583176599782851,0.0024024408908865607,499397.4430352591,661.1022732874925,381.68757544440734,1642.4016371372848,15.80793191989263,0.17066346486294895,0.09853259737945783,0.42398576652380704,104.4302607889556,2.3817467277940985,1.3751021144334332,5.917064398407063,200000.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,4581.989007234573,54.53269732285083,31.484467478984314,135.4776635620695
