algorithm,method,seed,user_id,mean_qoe
Cent-PPO,cent_ppo,43,19,0.7283401808707292
Cent-PPO,cent_ppo,43,20,0.7744513761284357
Cent-PPO,cent_ppo,43,21,0.7935856813419319
Cent-PPO,cent_ppo,43,22,0.8095757725192154
Cent-PPO,cent_ppo,43,23,0.7627841943756494
Cent-PPO,cent_ppo,43,24,0.7535843779396048
Cent-PPO,cent_ppo,43,25,0.763712062195534
Cent-PPO,cent_ppo,43,26,0.7809747738924765
Cent-PPO,cent_ppo,43,27,0.7840984917091262
Cent-PPO,cent_ppo,43,28,0.7403662001328272
Cent-PPO,cent_ppo,43,29,0.7544675464372977
Cent-PPO,cent_ppo,43,30,0.8369471779321436
Cent-PPO,cent_ppo,43,31,0.7759684784453567
Cent-PPO,cent_ppo,43,32,0.7621562920196019
Cent-PPO,cent_ppo,43,33,0.7577507445743347
Cent-PPO,cent_ppo,43,34,0.8107745809910702
Cent-PPO,cent_ppo,43,35,0.7517084405020569
Cent-PPO,cent_ppo,43,36,0.774945798056584
Cent-PPO,cent_ppo,43,37,0.7996856892163843
Cent-PPO,cent_ppo,43,38,0.8011173782453036
Cent-PPO,cent_ppo,43,39,0.8021735460650236
Cent-PPO,cent_ppo,43,40,0.7631072579784361
Cent-PPO,cent_ppo,43,41,0.7769407332367798
Cent-PPO,cent_ppo,43,42,0.7748113050552793
Cent-PPO,cent_ppo,43,43,0.802234575686317
Cent-PPO,cent_ppo,43,44,0.778796133641477
Cent-PPO,cent_ppo,43,45,0.7518875407582036
Cent-PPO,cent_ppo,43,46,0.7336438820320582
Cent-PPO,cent_ppo,43,47,0.7912848085973826
Cent-PPO,cent_ppo,43,48,0.8095341210104303
Cent-PPO,cent_ppo,43,49,0.7861948353737139
Cent-PPO,cent_ppo,43,50,0.7366818899915665
Cent-PPO,cent_ppo,43,51,0.7474608656765975
Cent-PPO,cent_ppo,43,52,0.7536265773946713
Cent-PPO,cent_ppo,43,53,0.7832563545487651
Cent-PPO,cent_ppo,43,54,0.7664311547075492
Cent-PPO,cent_ppo,43,55,0.7860599751601944
Cent-PPO,cent_ppo,43,56,0.7842279589971966
Cent-PPO,cent_ppo,43,57,0.7648084725147423
Cent-PPO,cent_ppo,43,58,0.7517893694971195
Cent-PPO,cent_ppo,43,59,0.7765663740365344
Cent-PPO,cent_ppo,43,60,0.8164476275527688
Cent-PPO,cent_ppo,43,61,0.7318340138372473
Cent-PPO,cent_ppo,43,62,0.7790744150173599
Cent-PPO,cent_ppo,43,63,0.759090938298299
Cent-PPO,cent_ppo,43,64,0.7513079434978742
Cent-PPO,cent_ppo,43,65,0.7716604178671789
Cent-PPO,cent_ppo,43,66,0.78945418639058
Cent-PPO,cent_ppo,43,67,0.7518662418410702
Cent-PPO,cent_ppo,43,68,0.768022985758913
Cent-PPO,cent_ppo,43,69,0.7730928607547309
Cent-PPO,cent_ppo,43,70,0.7406655451655971
Cent-PPO,cent_ppo,43,71,0.7684141006317087
Cent-PPO,cent_ppo,43,72,0.7690200173184485
Cent-PPO,cent_ppo,43,73,0.7781291524726123
Cent-PPO,cent_ppo,43,74,0.7912263397673341
Cent-PPO,cent_ppo,43,75,0.7923675241380762
Cent-PPO,cent_ppo,43,76,0.7652347148856695
Cent-PPO,cent_ppo,43,77,0.7829470829619192
Cent-PPO,cent_ppo,43,78,0.7886417295970577
Cent-PPO,cent_ppo,43,79,0.7872934705893101
Cent-PPO,cent_ppo,44,0,0.7591327380101087
Cent-PPO,cent_ppo,44,1,0.743546945703207
Cent-PPO,cent_ppo,44,2,0.7656801956805518
Cent-PPO,cent_ppo,44,3,0.7364176068855448
Cent-PPO,cent_ppo,44,4,0.7350538266650497
Cent-PPO,cent_ppo,44,5,0.7157783457601322
Cent-PPO,cent_ppo,44,6,0.7454474463171801
Cent-PPO,cent_ppo,44,7,0.7769887807959786
Cent-PPO,cent_ppo,44,8,0.7792408001144202
Cent-PPO,cent_ppo,44,9,0.7745252832588051
