method,variant,scenario,num_bs,num_users,experiment,seed,run_id,num_eval_episodes,throughput_Mbps,mean_latency_ms,p95_latency_ms,deadline_satisfaction_pct,blocking_pct,avg_qoe,fairness,energy_J_per_step,walltime_ms_per_step,mean_episode_return,training_iterations,training_env_steps,training_walltime_s,algorithm_backend,eval_user_steps_csv,code_version,run_dir,summary_path,algorithm
ma_a2c,full,urban,4,80,main,43,ma_a2c__full__urban__bs4__u80__main__seed43,20,197.28461253355343,215.19724449063276,453.0899261387603,25.1503125,0.0,0.7235661645271799,0.9652481982539372,500160.0,15.933578550815582,87.5550521744201,200,200000,3824.983960390091,ppo_single_pass_a2c_compat,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ma_a2c__full__urban__bs4__u80__main__seed43/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ma_a2c__full__urban__bs4__u80__main__seed43,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ma_a2c__full__urban__bs4__u80__main__seed43/run_summary.csv,MA-A2C
ma_a2c,full,urban,4,80,main,44,ma_a2c__full__urban__bs4__u80__main__seed44,20,197.28461253355343,247.45127209987976,560.6131523423255,23.8446875,0.0,0.6907398195868034,0.9652481982539372,500160.0,16.051713824272156,82.4154860353149,200,200000,3796.1001856327057,ppo_single_pass_a2c_compat,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ma_a2c__full__urban__bs4__u80__main__seed44/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ma_a2c__full__urban__bs4__u80__main__seed44,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ma_a2c__full__urban__bs4__u80__main__seed44/run_summary.csv,MA-A2C
mappo,full,urban,4,80,main,42,mappo__full__urban__bs4__u80__main__seed42,20,197.26053839351405,164.44202635834228,474.5862982603968,47.59875,0.0,0.7537011765187851,0.9657616684255445,445384.7019553187,18.69670081138611,101.85052031538189,200,200000,4533.13742351532,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/mappo__full__urban__bs4__u80__main__seed42/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/mappo__full__urban__bs4__u80__main__seed42,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/mappo__full__urban__bs4__u80__main__seed42/run_summary.csv,MAPPO
mappo,full,urban,4,80,main,43,mappo__full__urban__bs4__u80__main__seed43,20,195.1947275753363,136.19317708694868,433.445776955797,53.9903125,0.0,0.7693624426407222,0.9736288783984304,489725.6874616441,18.53377825021744,105.88968073562486,200,200000,4508.629887342453,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/mappo__full__urban__bs4__u80__main__seed43/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/mappo__full__urban__bs4__u80__main__seed43,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/mappo__full__urban__bs4__u80__main__seed43/run_summary.csv,MAPPO
mappo,full,urban,4,80,main,44,mappo__full__urban__bs4__u80__main__seed44,20,192.1226713734953,141.2116298626886,446.0989887906175,53.11625,0.0,0.7620514581445171,0.9746680132437032,436357.3642434348,18.433067560195923,105.60432888932932,200,200000,4494.296009063721,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/mappo__full__urban__bs4__u80__main__seed44/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/mappo__full__urban__bs4__u80__main__seed44,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/mappo__full__urban__bs4__u80__main__seed44/run_summary.csv,MAPPO
ours,full,urban,4,80,main,42,ours__full__urban__bs4__u80__main__seed42,20,196.56344275477232,159.25766390212044,463.20662687131374,48.404375,0.0,0.7576101484718881,0.968624391957878,500153.903660472,16.059805393218994,101.68534705900186,200,200000,4603.540713310242,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u80__main__seed42/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u80__main__seed42,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u80__main__seed42/run_summary.csv,Ours
ours,full,urban,4,80,main,43,ours__full__urban__bs4__u80__main__seed43,20,197.41942741060683,135.96787916439916,434.7568907451393,54.0996875,0.0,0.7716521555084006,0.970293234437276,499356.5220157214,15.918751180171968,105.99069470774464,200,200000,4568.820488214493,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u80__main__seed43/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u80__main__seed43,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u80__main__seed43/run_summary.csv,Ours
ours,full,urban,4,80,main,44,ours__full__urban__bs4__u80__main__seed44,20,197.4069564023332,139.81197429796046,443.8673312903707,53.445625,0.0,0.7681938502931134,0.9707533695113866,449521.2877705887,15.72246503829956,106.24959911370595,200,200000,4611.048085689545,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u80__main__seed44/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u80__main__seed44,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u80__main__seed44/run_summary.csv,Ours
ours,full,highway,4,80,mobility,42,ours__full__highway__bs4__u80__mobility__seed42,20,188.1015350172894,159.24772285112596,461.36308838338624,48.3540625,0.0,0.7587798939092386,0.9733673434321602,493932.44470778,16.385360777378082,101.32485944703431,200,200000,4612.525944232941,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__highway__bs4__u80__mobility__seed42/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__highway__bs4__u80__mobility__seed42,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__highway__bs4__u80__mobility__seed42/run_summary.csv,Ours
ours,full,highway,4,80,mobility,43,ours__full__highway__bs4__u80__mobility__seed43,20,188.1150781881041,137.1421134324707,436.5037268440396,53.87875,0.0,0.77098076525273,0.9736346997839856,479705.6876631739,15.967096030712128,105.54243104193006,200,200000,4564.511243343353,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__highway__bs4__u80__mobility__seed43/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__highway__bs4__u80__mobility__seed43,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__highway__bs4__u80__mobility__seed43/run_summary.csv,Ours
ours,full,highway,4,80,mobility,44,ours__full__highway__bs4__u80__mobility__seed44,20,188.11792255415017,135.91100259835022,434.4263966330109,54.13,0.0,0.7720740098255685,0.9740204762439104,499252.86835012975,15.9960058927536,105.4126035871246,200,200000,4507.419287443161,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__highway__bs4__u80__mobility__seed44/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__highway__bs4__u80__mobility__seed44,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__highway__bs4__u80__mobility__seed44/run_summary.csv,Ours
