method,n_seeds,throughput_Mbps_mean,throughput_Mbps_sd,throughput_Mbps_sem,throughput_Mbps_ci95,mean_latency_ms_mean,mean_latency_ms_sd,mean_latency_ms_sem,mean_latency_ms_ci95,p95_latency_ms_mean,p95_latency_ms_sd,p95_latency_ms_sem,p95_latency_ms_ci95,deadline_satisfaction_pct_mean,deadline_satisfaction_pct_sd,deadline_satisfaction_pct_sem,deadline_satisfaction_pct_ci95,blocking_pct_mean,blocking_pct_sd,blocking_pct_sem,blocking_pct_ci95,avg_qoe_mean,avg_qoe_sd,avg_qoe_sem,avg_qoe_ci95,fairness_mean,fairness_sd,fairness_sem,fairness_ci95,energy_J_per_step_mean,energy_J_per_step_sd,energy_J_per_step_sem,energy_J_per_step_ci95,walltime_ms_per_step_mean,walltime_ms_per_step_sd,walltime_ms_per_step_sem,walltime_ms_per_step_ci95,mean_episode_return_mean,mean_episode_return_sd,mean_episode_return_sem,mean_episode_return_ci95
cent_ppo,3,195.64024951378056,0.8190993781292081,0.4729072464559534,2.0349198814999676,146.60635236098256,9.656689479480308,5.575292270458584,23.990482639783284,452.0521442926224,14.630270613303221,8.446790676907685,36.34654028273377,51.670625,2.2481512152697287,1.2979707093149622,5.5851679621822825,0.0,0.0,0.0,0.0,0.7635842690103217,0.006033444657332055,0.0034834108970513713,0.01498911709001205,0.9660488793668506,0.003075106927598929,0.0017754138124361247,0.007639605634912644,496439.31705834233,3267.780084514298,1886.653711446828,8118.2709203557015,18.579679151376087,0.14676112128204327,0.084732572878759,0.3646042610973,103.85548578350318,1.765685214254623,1.0194188337540488,4.386559241643672
mappo,3,194.85931244744856,2.5853040169119446,1.4926259701011322,6.422769549345172,147.2822777693265,15.07112954606436,8.701320700411982,37.441782973872755,451.3770213356038,21.071991931542826,12.165920214037873,52.34995468100497,51.56843750000001,3.4655173422187264,2.000817370411298,8.609517144879815,0.0,0.0,0.0,0.0,0.7617050257680081,0.007836378352220735,0.004524335151126398,0.01946821415529689,0.9713528533558927,0.004869903695216178,0.0028116402093606137,0.01209848782087872,457155.9178867992,28565.11201028224,16492.075108568264,70965.39919216924,18.554515540599823,0.13303439101442677,0.07680744146365723,0.330502420618117,104.44817664677869,2.254156212661522,1.3014376961755971,5.6000864066435945
ma_a2c,3,197.28461253355343,0.0,0.0,0.0,226.53769796637434,18.133230644333533,10.469225593783538,45.04907773005056,488.79094391572636,62.200211846633735,35.911309053305736,154.5263628563746,24.662291666666665,0.712483712350383,0.41135266311871754,1.7700505093998415,0.0,0.0,0.0,0.0,0.712032582466222,0.01846140401545075,0.010658696577938928,0.045864371374871205,0.9652481982539373,0.0,0.0,0.0,500160.0,0.0,0.0,0.0,15.978100657463074,0.06421606531592239,0.03707516259644638,0.15953442465250878,85.73799305345817,2.881590715716754,1.6636871754133944,7.158845915803836
ours,3,197.12994218923745,0.49064252613161813,0.2832725945379677,1.218921974296875,145.01250578816004,12.485498152567509,7.208505719351427,31.01820011036919,447.27694963560793,14.528110488200884,8.387808501179407,36.09273998057499,51.98322916666667,3.1165842356941167,1.7993607474301425,7.742649296191903,0.0,0.0,0.0,0.0,0.765818718091134,0.007316107580949446,0.004223956681281425,0.01817568559955397,0.9698903319688469,0.0011202161198337628,0.000646757078336581,0.002782995708082308,483010.5711489273,29005.31038047777,16746.22375609749,72059.0008224875,15.900340537230173,0.16942208414029145,0.0978158858850647,0.42090175696343335,104.64188029348414,2.56370326828307,1.480154772065554,6.369105984198078
