algorithm,n_seeds,num_bs,num_users,seeds,source_run_summaries,throughput_raw_mean,throughput_raw_sd,mean_latency_raw_mean,mean_latency_raw_sd,p95_latency_raw_mean,p95_latency_raw_sd,deadline_raw_mean,deadline_raw_sd,blocking_raw_mean,blocking_raw_sd,qoe_raw_mean,qoe_raw_sd,fairness_raw_mean,fairness_raw_sd,energy_raw_mean,energy_raw_sd,eval_steps_throughput_recomputed_cross_seed_mean,eval_episodes_throughput_recomputed_cross_seed_mean
Cent-PPO,3,4,80,42 | 43 | 44,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/cent_ppo__full__urban__bs4__u80__main__seed42/run_summary.csv | /home/umb/Desktop/mappo2/paper_results_v51_final/runs/cent_ppo__full__urban__bs4__u80__main__seed43/run_summary.csv | /home/umb/Desktop/mappo2/paper_results_v51_final/runs/cent_ppo__full__urban__bs4__u80__main__seed44/run_summary.csv,195.64024951378053,0.819099378129197,146.60635236098256,9.656689479480308,452.0521442926225,14.630270613303189,51.670625,2.2481512152697287,0.0,0.0,0.7635842690103217,0.006033444657332055,0.9660488793668506,0.003075106927598929,496439.31705834233,3267.780084514298,195.64024951378056,195.64024951378053
MA-A2C,3,4,80,42 | 43 | 44,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ma_a2c__full__urban__bs4__u80__main__seed42/run_summary.csv | /home/umb/Desktop/mappo2/paper_results_v51_final/runs/ma_a2c__full__urban__bs4__u80__main__seed43/run_summary.csv | /home/umb/Desktop/mappo2/paper_results_v51_final/runs/ma_a2c__full__urban__bs4__u80__main__seed44/run_summary.csv,197.28461253355343,0.0,226.53769796637434,18.13323064433353,488.79094391572636,62.200211846633735,24.662291666666665,0.712483712350383,0.0,0.0,0.712032582466222,0.01846140401545075,0.9652481982539372,0.0,500160.0,0.0,197.28461253355343,197.28461253355337
MAPPO,3,4,80,42 | 43 | 44,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/mappo__full__urban__bs4__u80__main__seed42/run_summary.csv | /home/umb/Desktop/mappo2/paper_results_v51_final/runs/mappo__full__urban__bs4__u80__main__seed43/run_summary.csv | /home/umb/Desktop/mappo2/paper_results_v51_final/runs/mappo__full__urban__bs4__u80__main__seed44/run_summary.csv,194.85931244744856,2.5853040169119446,147.2822777693265,15.07112954606436,451.3770213356038,21.071991931542883,51.56843750000001,3.4655173422187264,0.0,0.0,0.7617050257680081,0.007836378352220735,0.9713528533558927,0.004869903695216153,457155.9178867992,28565.11201028224,194.85931244744856,194.85931244744856
Ours,3,4,80,42 | 43 | 44,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u80__main__seed42/run_summary.csv | /home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u80__main__seed43/run_summary.csv | /home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u80__main__seed44/run_summary.csv,197.12994218923745,0.4906425261316262,145.01250578816004,12.485498152567509,447.27694963560793,14.528110488200884,51.98322916666667,3.1165842356941167,0.0,0.0,0.765818718091134,0.007316107580949446,0.9698903319688469,0.0011202161198338454,483010.5711489274,29005.310380477735,197.12994218923745,197.12994218923745
