algorithm,n_seeds,throughput_Mbps_mean,throughput_Mbps_sd,throughput_Mbps_sem,throughput_Mbps_ci95,mean_latency_ms_mean,mean_latency_ms_sd,mean_latency_ms_sem,mean_latency_ms_ci95,p95_latency_ms_mean,p95_latency_ms_sd,p95_latency_ms_sem,p95_latency_ms_ci95,deadline_satisfaction_pct_mean,deadline_satisfaction_pct_sd,deadline_satisfaction_pct_sem,deadline_satisfaction_pct_ci95,blocking_pct_mean,blocking_pct_sd,blocking_pct_sem,blocking_pct_ci95,avg_qoe_mean,avg_qoe_sd,avg_qoe_sem,avg_qoe_ci95,fairness_mean,fairness_sd,fairness_sem,fairness_ci95,energy_J_per_step_mean,energy_J_per_step_sd,energy_J_per_step_sem,energy_J_per_step_ci95,walltime_ms_per_step_mean,walltime_ms_per_step_sd,walltime_ms_per_step_sem,walltime_ms_per_step_ci95,mean_episode_return_mean,mean_episode_return_sd,mean_episode_return_sem,mean_episode_return_ci95,training_walltime_s_mean,training_walltime_s_sd,training_walltime_s_sem,training_walltime_s_ci95
Cent-PPO,3,195.64024951378053,0.819099378129197,0.4729072464559469,2.03491988149994,146.60635236098256,9.656689479480308,5.575292270458584,23.990482639783284,452.0521442926225,14.630270613303187,8.446790676907668,36.34654028273369,51.670625,2.2481512152697287,1.2979707093149622,5.5851679621822825,0.0,0.0,0.0,0.0,0.7635842690103217,0.006033444657332,0.0034834108970513,0.014989117090012,0.9660488793668506,0.0030751069275989,0.0017754138124361,0.0076396056349126,496439.31705834233,3267.780084514298,1886.653711446828,8118.270920355701,18.579679151376087,0.1467611212820432,0.084732572878759,0.3646042610973,103.85548578350318,1.7656852142546324,1.0194188337540542,4.386559241643695,3888.666721661885,11.594781033084956,6.694249950646366,28.805357537631316
MAPPO,3,194.85931244744856,2.585304016911945,1.4926259701011322,6.422769549345172,147.2822777693265,15.07112954606436,8.701320700411982,37.44178297387276,451.3770213356038,21.071991931542883,12.165920214037904,52.34995468100511,51.56843750000001,3.4655173422187264,2.000817370411298,8.609517144879815,0.0,0.0,0.0,0.0,0.7617050257680081,0.0078363783522207,0.0045243351511263,0.0194682141552968,0.9713528533558928,0.0048699036952161,0.0028116402093605,0.0120984878208786,457155.9178867992,28565.11201028224,16492.075108568264,70965.39919216924,18.554515540599823,0.1330343910144265,0.076807441463657,0.3305024206181164,104.44817664677868,2.2541562126615142,1.301437696175593,5.600086406643575,4512.021106640498,19.6415158629826,11.340034470785309,48.79616832778918
MA-A2C,3,197.28461253355343,0.0,0.0,0.0,226.53769796637437,18.13323064433353,10.469225593783536,45.04907773005056,488.7909439157264,62.200211846633735,35.911309053305736,154.5263628563746,24.662291666666665,0.712483712350383,0.4113526631187175,1.7700505093998415,0.0,0.0,0.0,0.0,0.712032582466222,0.0184614040154507,0.0106586965779389,0.0458643713748712,0.9652481982539372,0.0,0.0,0.0,500160.0,0.0,0.0,0.0,15.978100657463074,0.0642160653159223,0.0370751625964463,0.1595344246525087,85.73799305345817,2.881590715716754,1.6636871754133944,7.158845915803836,3825.5070774555206,29.671909023462405,17.131084662066105,73.71505730087044
Ours,3,197.12994218923745,0.4906425261316262,0.2832725945379724,1.218921974296895,145.01250578816004,12.485498152567509,7.208505719351427,31.01820011036919,447.27694963560793,14.528110488200884,8.387808501179407,36.09273998057499,51.98322916666667,3.1165842356941167,1.7993607474301423,7.742649296191903,0.0,0.0,0.0,0.0,0.765818718091134,0.0073161075809494,0.0042239566812814,0.0181756855995539,0.9698903319688468,0.0011202161198338,0.0006467570783366,0.0027829957080825,483010.5711489274,29005.31038047773,16746.223756097468,72059.0008224874,15.900340537230171,0.1694220841402915,0.0978158858850647,0.4209017569634337,104.64188029348414,2.56370326828307,1.480154772065554,6.369105984198078,4594.469762404759,22.527851869985295,13.006461341400026,55.96680315204432
