method,service_class,n_seeds,deadline_satisfaction_pct_mean,deadline_satisfaction_pct_sd,deadline_satisfaction_pct_sem,deadline_satisfaction_pct_ci95,mean_latency_ms_mean,mean_latency_ms_sd,mean_latency_ms_sem,mean_latency_ms_ci95,p95_latency_ms_mean,p95_latency_ms_sd,p95_latency_ms_sem,p95_latency_ms_ci95,mean_qoe_mean,mean_qoe_sd,mean_qoe_sem,mean_qoe_ci95,deadline_hits_pooled,deadline_candidates_pooled,deadline_satisfaction_pct_pooled
cent_ppo,infotainment,3,51.69157254561251,2.214086341396848,1.278303345214544,5.500539294458183,146.51840530470875,9.582310579439815,5.532349592498177,23.805700296519653,451.34853968879696,14.518578206138455,8.382305035564672,36.069058568034784,0.7040206320914217,0.006120219948114736,0.00353351063454376,0.0152046962604418,356982,690600,51.69157254561251
cent_ppo,safety,3,51.61692650334076,2.3354864061878664,1.3483937053012764,5.802138113911393,146.8318023871989,9.84798220849725,5.685735179050533,24.46571847545444,453.8350769315153,15.167201019032088,8.756787591191342,37.68045700489635,0.9162741266799291,0.005865455040656967,0.0033864220466429474,0.014571774066704603,139056,269400,51.61692650334076
ma_a2c,infotainment,3,24.64914567043151,0.7409228451157761,0.42777200407633675,1.840702933540477,226.54145999338402,18.174397917748166,10.492993530171278,45.15135116032701,488.1831826218429,62.65097591770746,36.171557811081165,155.64621326108224,0.6529795312812127,0.018497748410895975,0.010679680024432764,0.04595466314513418,170227,690600,24.64914567043151
ma_a2c,safety,3,24.69599109131403,0.6395812623504887,0.36926241398669535,1.58893616738475,226.5280541064898,18.027699393753604,10.408297097853296,44.78690241206273,490.3227768789641,61.126625625155725,35.29147375933714,151.8592115864277,0.8634135666843633,0.018368236088648772,0.010604906050319968,0.04563291073452682,66531,269400,24.69599109131403
mappo,infotainment,3,51.60657399362873,3.4434456404794265,1.9880742674706402,8.554683572926164,147.18463883546724,15.085613909550489,8.709683251569738,37.47776703150458,450.7644569968441,21.14516545260921,12.208166966123102,52.53174245522771,0.7018478291280408,0.007492612616382841,0.004325861911002219,0.01861418380304255,356395,690600,51.60657399362873
mappo,safety,3,51.47067557535263,3.522098728759371,2.0334846491616614,8.75008444534263,147.5325726755003,15.034048906661598,8.679912183271073,37.34966212461543,452.7181569947572,20.647908722677936,11.921075659240929,51.29638856171371,0.9151474162637819,0.009078309409206032,0.005241364381191815,0.02255359093226838,138662,269400,51.47067557535264
ours,infotainment,3,52.010425716768026,3.080500897479767,1.7785280223988273,7.653006080382154,144.92189533064484,12.467944745215831,7.1983712548917405,30.974591509799158,446.6220562240608,14.43819662188123,8.335896706255875,35.86936352701903,0.7067782933590278,0.007474281348433516,0.00431527834851709,0.01856864273366904,359184,690600,52.010425716768026
ours,safety,3,51.91351150705271,3.209096836356492,1.852772922325997,7.972481884768765,145.24478337524243,12.53051159800181,7.234494244190073,31.130028732749885,449.09267033655397,14.743716342191039,8.512288599019481,36.62837784158083,0.9171673347206536,0.006911263520400411,0.003990219853943618,0.017169916031519388,139855,269400,51.91351150705271
