algorithm,overall_deadline_pct_mean,overall_deadline_pct_sd,overall_deadline_pct_ci95,overall_deadline_pct_pooled,overall_hits_pooled,overall_candidates_pooled,light_deadline_pct_mean,light_deadline_pct_sd,light_deadline_pct_ci95,light_deadline_pct_pooled,light_hits_pooled,light_candidates_pooled,heavy_deadline_pct_mean,heavy_deadline_pct_sd,heavy_deadline_pct_ci95,heavy_deadline_pct_pooled,heavy_hits_pooled,heavy_candidates_pooled
Cent-PPO,51.670625,2.2481512152697287,5.5851679621822825,51.670625,496038,960000,100.0,0.0,0.0,100.0,288768,288768,30.879040331807783,3.2153192438068197,7.987940449345368,30.87904033180778,207270,671232
MAPPO,51.56843750000001,3.4655173422187264,8.609517144879817,51.5684375,495057,960000,99.87117686170212,0.2088982501256119,0.5189739044388642,99.87117686170212,288396,288768,30.78831164187643,4.995097914764437,12.409512603963634,30.78831164187643,206661,671232
MA-A2C,24.662291666666665,0.712483712350383,1.7700505093998415,24.66229166666667,236758,960000,9.283577127659575,5.231215586556581,12.996108757657115,9.283577127659575,26808,288768,31.278306159420293,1.2325891765803259,3.0621683865438394,31.27830615942029,209950,671232
Ours,51.98322916666667,3.1165842356941167,7.742649296191902,51.98322916666667,499039,960000,100.0,0.0,0.0,100.0,288768,288768,31.326128670861937,4.457357316496162,11.07358308951931,31.326128670861937,210271,671232
