num_users,n_seeds,throughput_Mbps_mean,throughput_Mbps_sd,throughput_Mbps_sem,throughput_Mbps_ci95,mean_latency_ms_mean,mean_latency_ms_sd,mean_latency_ms_sem,mean_latency_ms_ci95,p95_latency_ms_mean,p95_latency_ms_sd,p95_latency_ms_sem,p95_latency_ms_ci95,deadline_satisfaction_pct_mean,deadline_satisfaction_pct_sd,deadline_satisfaction_pct_sem,deadline_satisfaction_pct_ci95,blocking_pct_mean,blocking_pct_sd,blocking_pct_sem,blocking_pct_ci95,avg_qoe_mean,avg_qoe_sd,avg_qoe_sem,avg_qoe_ci95,fairness_mean,fairness_sd,fairness_sem,fairness_ci95,energy_J_per_step_mean,energy_J_per_step_sd,energy_J_per_step_sem,energy_J_per_step_ci95,walltime_ms_per_step_mean,walltime_ms_per_step_sd,walltime_ms_per_step_sem,walltime_ms_per_step_ci95,mean_episode_return_mean,mean_episode_return_sd,mean_episode_return_sem,mean_episode_return_ci95,num_bs,users_per_bs
20,3,54.170529848842364,0.054069909957201186,0.03121727706884893,0.13432794322725694,56.848657525691344,0.1781869750730733,0.10287629802452401,0.44267671039952683,157.1792770499702,0.4825368231525625,0.27859276474103883,1.19878466668069,80.32958333333333,0.12698630175469142,0.07331557550146614,0.3154769213828088,0.0,0.0,0.0,0.0,0.8530636270830217,0.00012410599876284414,7.165263179377543e-05,0.00030832127460861565,0.9148749452441015,0.0012179384732049776,0.0007031771053612957,0.0030257710843696554,474199.91449616785,8839.118451223389,5103.267417212812,21959.35969626673,5.773253778616588,0.013581581063625602,0.007841329483104965,0.033741240765800665,127.75522909250738,0.16717602894600198,0.09651912531402691,0.4153217962262578,4,5.0
40,3,102.88315540573389,0.5282951443750353,0.30501134381649886,1.3124638124423946,83.02060224736863,6.553589238066538,3.78371651075595,16.28133214578285,251.35736382306348,6.389219565069809,3.6888176358046785,15.872982286867531,65.51937500000001,2.2217978186313436,1.2827555686717296,5.519697211994452,0.0,0.0,0.0,0.0,0.8331089614756678,0.0033083729955151985,0.0019100900395403885,0.008219117440142292,0.9525414755403853,0.0023454876538219764,0.0013541679283150618,0.005826984595539711,491747.54823081056,12324.734398144632,7115.688722459444,30618.808572742986,8.972471296787262,0.136979093730387,0.07908491663858992,0.3403023962958524,118.5716481041565,1.4065259217415789,0.8120581195396871,3.4942860883792735,4,10.0
60,3,151.92735834673053,0.043701449228124134,0.025231043475834235,0.10856918007651471,115.30330163328601,8.642040359369817,4.989484327829774,21.46975106265152,347.71856139153425,9.383715114987584,5.417690447636843,23.312321996181332,56.630833333333335,2.44473715498097,1.4114696545261431,6.073553923425994,0.0,0.0,0.0,0.0,0.7964502908191325,0.0043092594400694325,0.002487952097732023,0.010705657876540894,0.9711088016776794,2.104156232276623e-05,1.214835167121937e-05,5.227435724125695e-05,499999.86593225034,157.4519235325893,90.90491043596481,391.16382960595655,12.29656974474589,0.11116999755692135,0.06418402801529859,0.2761838725498298,110.67387210711674,1.5843062659165366,0.9146996491057232,3.9359525901019268,4,15.0
80,3,197.12994218923745,0.49064252613161813,0.2832725945379677,1.218921974296875,145.01250578816004,12.485498152567509,7.208505719351427,31.01820011036919,447.27694963560793,14.528110488200884,8.387808501179407,36.09273998057499,51.98322916666667,3.1165842356941167,1.7993607474301425,7.742649296191903,0.0,0.0,0.0,0.0,0.765818718091134,0.007316107580949446,0.004223956681281425,0.01817568559955397,0.9698903319688469,0.0011202161198337628,0.000646757078336581,0.002782995708082308,483010.5711489273,29005.31038047777,16746.22375609749,72059.0008224875,15.900340537230173,0.16942208414029145,0.0978158858850647,0.42090175696343335,104.64188029348414,2.56370326828307,1.480154772065554,6.369105984198078,4,20.0
100,3,240.40827980805997,0.34693694362248745,0.20030413779226916,0.8619087049201342,173.41768363347376,15.866066209517538,9.160277597045376,39.41667450008625,533.6683056417277,16.245663938664144,9.37943844815194,40.3597236423978,48.64991666666666,3.633771046837339,2.097958692065006,9.02751625195572,0.0,0.0,0.0,0.0,0.7368223839467659,0.009613525873345838,0.005550371750837652,0.023883249643854416,0.9819027872936279,0.0015526330170773275,0.0008964130903622959,0.003857265527828959,500078.62897984945,138.0420118697423,79.69859271247324,342.9430444417724,19.098211268583935,0.09025035174217831,0.052106064872805065,0.22421239714768018,98.99255956669829,2.7925512745295236,1.612280230075453,6.937641830014674,4,25.0
120,3,282.49014112427176,1.110262133935832,0.641010141898901,2.7582666405909713,192.25276459942117,0.17731301646228997,0.10237171778532766,0.4405055016302649,613.8521663868532,1.1265912074630653,0.6504377368954664,2.798833581861192,48.327152777777776,0.02192982547514493,0.01266119064135644,0.05448110332975676,0.0,0.0,0.0,0.0,0.7178904562595934,0.0007477134303475835,0.0004316925502878759,0.0018575730438887298,0.984831808589082,0.000711977952094345,0.0004110606622987486,0.0017687940298715152,500156.30136342003,5.8413215137805885,3.3724885484043754,14.511818223784028,21.99564089377721,0.04783487551704494,0.027617478256418138,0.11883800893736725,95.7906591417908,0.09587277048524596,0.055352169847611966,0.23818038685427428,4,30.0
