run_id,method,variant,scenario,seed,experiment,num_bs,num_users,num_eval_episodes,throughput_Mbps,mean_latency_ms,p95_latency_ms,deadline_satisfaction,deadline_satisfaction_pct,blocking_rate,blocking_pct,avg_qoe,fairness,energy_J_per_step,walltime_ms_per_step,mean_episode_return,eval_user_steps_csv,code_version,algorithm_backend,ray_version,torch_version,final_checkpoint,training_iterations,training_env_steps,training_walltime_s
ma_a2c__full__urban__bs4__u80__main__seed43,ma_a2c,full,urban,43,main,4,80,20,197.28461253355343,215.19724449063273,453.0899261387603,0.251503125,25.1503125,0.0,0.0,0.7235661645271799,0.9652481982539373,500160.0,15.933578550815582,87.5550521744201,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ma_a2c__full__urban__bs4__u80__main__seed43/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,ppo_single_pass_a2c_compat,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ma_a2c__full__urban__bs4__u80__main__seed43/checkpoints/final,200,200000,3824.983960390091
ma_a2c__full__urban__bs4__u80__main__seed44,ma_a2c,full,urban,44,main,4,80,20,197.28461253355343,247.45127209987976,560.6131523423255,0.238446875,23.8446875,0.0,0.0,0.6907398195868034,0.9652481982539373,500160.0,16.051713824272156,82.4154860353149,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ma_a2c__full__urban__bs4__u80__main__seed44/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,ppo_single_pass_a2c_compat,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ma_a2c__full__urban__bs4__u80__main__seed44/checkpoints/final,200,200000,3796.1001856327057
ours__no_neighbor__urban__bs4__u80__ablation__seed42,ours,no_neighbor,urban,42,ablation,4,80,20,197.28483435461118,159.82743558662582,463.4143652118784,0.482903125,48.2903125,0.0,0.0,0.7577976149988108,0.9685712940372366,491088.67814345215,15.886526465415955,101.84620808330888,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__no_neighbor__urban__bs4__u80__ablation__seed42/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,rllib_ppo,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__no_neighbor__urban__bs4__u80__ablation__seed42/checkpoints/final,200,200000,4587.9658942222595
ours__no_neighbor__urban__bs4__u80__ablation__seed43,ours,no_neighbor,urban,43,ablation,4,80,20,197.41591915401816,136.09792108962682,435.0799412153131,0.54071875,54.071875,0.0,0.0,0.7715297858169323,0.9701855384829708,497288.9443074334,15.786980330944061,106.00196534627386,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__no_neighbor__urban__bs4__u80__ablation__seed43/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,rllib_ppo,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__no_neighbor__urban__bs4__u80__ablation__seed43/checkpoints/final,200,200000,4641.41045665741
ours__no_neighbor__urban__bs4__u80__ablation__seed44,ours,no_neighbor,urban,44,ablation,4,80,20,197.40515981626714,138.58453969577886,440.56996082321496,0.536390625,53.6390625,0.0,0.0,0.7692994928281734,0.9701345796570657,463962.8558399709,15.633168816566467,106.18093435970079,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__no_neighbor__urban__bs4__u80__ablation__seed44/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,rllib_ppo,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__no_neighbor__urban__bs4__u80__ablation__seed44/checkpoints/final,200,200000,4573.923617601395
ours__full__highway__bs4__u80__mobility__seed42,ours,full,highway,42,mobility,4,80,20,188.1015350172894,159.24772285112596,461.36308838338624,0.483540625,48.3540625,0.0,0.0,0.7587798939092386,0.9733673434321602,493932.44470777997,16.385360777378082,101.32485944703433,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__highway__bs4__u80__mobility__seed42/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,rllib_ppo,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__highway__bs4__u80__mobility__seed42/checkpoints/final,200,200000,4612.525944232941
ours__full__highway__bs4__u80__mobility__seed43,ours,full,highway,43,mobility,4,80,20,188.1150781881041,137.14211343247067,436.5037268440396,0.5387875,53.87875,0.0,0.0,0.77098076525273,0.9736346997839856,479705.6876631739,15.967096030712128,105.54243104193006,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__highway__bs4__u80__mobility__seed43/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,rllib_ppo,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__highway__bs4__u80__mobility__seed43/checkpoints/final,200,200000,4564.511243343353
ours__full__highway__bs4__u80__mobility__seed44,ours,full,highway,44,mobility,4,80,20,188.11792255415017,135.91100259835022,434.4263966330109,0.5413,54.13,0.0,0.0,0.7720740098255685,0.9740204762439103,499252.86835012975,15.996005892753601,105.41260358712461,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__highway__bs4__u80__mobility__seed44/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,rllib_ppo,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__highway__bs4__u80__mobility__seed44/checkpoints/final,200,200000,4507.419287443161
ours__full__mixed__bs4__u80__mobility__seed42,ours,full,mixed,42,mobility,4,80,20,192.29552009330695,158.7528932413823,459.6349318942081,0.484375,48.4375,0.0,0.0,0.7607510558397006,0.9722665849398372,500159.9996540535,16.001085877418518,101.68008344532926,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__mixed__bs4__u80__mobility__seed42/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,rllib_ppo,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__mixed__bs4__u80__mobility__seed42/checkpoints/final,200,200000,4640.510082960129
ours__full__mixed__bs4__u80__mobility__seed43,ours,full,mixed,43,mobility,4,80,20,192.2645613877115,135.9490313484296,432.67282262627407,0.540553125,54.0553125,1.25e-05,0.00125,0.7735986542765287,0.9741496727428122,498985.55805836146,15.745188057422638,105.79481811179451,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__mixed__bs4__u80__mobility__seed43/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,rllib_ppo,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__mixed__bs4__u80__mobility__seed43/checkpoints/final,200,200000,4572.859983205795
