run_id,run_path,method,variant,scenario,seed,experiment,num_bs,num_users,code_version,run_summary_exists,run_summary_bytes,train_iterations_exists,train_iterations_bytes,eval_episodes_exists,eval_episodes_bytes,eval_steps_exists,eval_steps_bytes,eval_bs_steps_exists,eval_bs_steps_bytes,eval_user_metrics_exists,eval_user_metrics_bytes,eval_user_steps_exists,eval_user_steps_bytes
ours__full__urban__bs4__u120__user_load__seed42,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u120__user_load__seed42,ours,full,urban,42,user_load,4,120,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1066,True,32218,True,4642,True,3538051,True,3910876,True,15055,True,136979469
ours__full__urban__bs4__u120__user_load__seed43,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u120__user_load__seed43,ours,full,urban,43,user_load,4,120,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1056,True,32221,True,4570,True,3355726,True,3754047,True,15060,True,136934987
ours__full__urban__bs4__u120__user_load__seed44,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u120__user_load__seed44,ours,full,urban,44,user_load,4,120,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1048,True,32202,True,4587,True,3444724,True,3777246,True,15055,True,136938326
ours__full__urban__bs4__u20__user_load__seed42,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u20__user_load__seed42,ours,full,urban,42,user_load,4,20,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1035,True,31897,True,4200,True,3515356,True,3948860,True,2530,True,23533863
ours__full__urban__bs4__u20__user_load__seed43,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u20__user_load__seed43,ours,full,urban,43,user_load,4,20,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1044,True,31899,True,4203,True,3491953,True,3872918,True,2528,True,23423803
ours__full__urban__bs4__u20__user_load__seed44,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u20__user_load__seed44,ours,full,urban,44,user_load,4,20,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1039,True,31910,True,4201,True,3519288,True,3946162,True,2533,True,23488184
ours__full__urban__bs4__u40__user_load__seed42,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u40__user_load__seed42,ours,full,urban,42,user_load,4,40,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1045,True,31898,True,4236,True,3475038,True,3874243,True,4958,True,46994691
ours__full__urban__bs4__u40__user_load__seed43,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u40__user_load__seed43,ours,full,urban,43,user_load,4,40,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1045,True,31897,True,4222,True,3296376,True,3698583,True,4958,True,45089929
ours__full__urban__bs4__u40__user_load__seed44,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u40__user_load__seed44,ours,full,urban,44,user_load,4,40,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1044,True,31903,True,4234,True,3494996,True,3846217,True,4964,True,45231745
ours__full__urban__bs4__u60__user_load__seed42,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u60__user_load__seed42,ours,full,urban,42,user_load,4,60,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1062,True,31865,True,4547,True,3428246,True,3728495,True,7454,True,70691083
ours__full__urban__bs4__u60__user_load__seed43,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u60__user_load__seed43,ours,full,urban,43,user_load,4,60,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1042,True,31868,True,4556,True,3399517,True,3720307,True,7453,True,69265353
ours__full__urban__bs4__u60__user_load__seed44,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u60__user_load__seed44,ours,full,urban,44,user_load,4,60,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1066,True,31867,True,4521,True,3413366,True,3721333,True,7448,True,67856358
ours__full__urban__bs4__u80__main__seed42,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u80__main__seed42,ours,full,urban,42,main,4,80,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1027,True,29879,True,4093,True,3445545,True,3685954,True,9101,True,91185154
ours__full__urban__bs4__u80__main__seed43,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u80__main__seed43,ours,full,urban,43,main,4,80,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1029,True,29879,True,4071,True,3278615,True,3551184,True,9107,True,87404174
ours__full__urban__bs4__u80__main__seed44,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u80__main__seed44,ours,full,urban,44,main,4,80,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1027,True,29883,True,4084,True,3440610,True,3728741,True,9083,True,87914916
ours__full__urban__bs8__u160__bs_scale__seed42,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs8__u160__bs_scale__seed42,ours,full,urban,42,bs_scale,8,160,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1062,True,31810,True,4515,True,3561870,True,7898952,True,19748,True,185885396
ours__full__urban__bs8__u160__bs_scale__seed43,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs8__u160__bs_scale__seed43,ours,full,urban,43,bs_scale,8,160,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1067,True,31832,True,4482,True,3615463,True,8196784,True,19753,True,190887073
ours__full__urban__bs8__u160__bs_scale__seed44,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs8__u160__bs_scale__seed44,ours,full,urban,44,bs_scale,8,160,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1066,True,31797,True,4518,True,3537875,True,7799659,True,19761,True,181830292
ours__no_neighbor__urban__bs4__u80__ablation__seed42,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__no_neighbor__urban__bs4__u80__ablation__seed42,ours,no_neighbor,urban,42,ablation,4,80,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1075,True,34265,True,4535,True,3553728,True,4087863,True,10861,True,98803961
ours__no_neighbor__urban__bs4__u80__ablation__seed43,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__no_neighbor__urban__bs4__u80__ablation__seed43,ours,no_neighbor,urban,43,ablation,4,80,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1070,True,34257,True,4538,True,3387506,True,3916037,True,10849,True,94476870
ours__no_neighbor__urban__bs4__u80__ablation__seed44,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__no_neighbor__urban__bs4__u80__ablation__seed44,ours,no_neighbor,urban,44,ablation,4,80,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,True,1074,True,34249,True,4512,True,3515131,True,4048223,True,10854,True,94848281
