run_id,algorithm,method,seed,experiment,scenario,num_bs,num_users,throughput_Mbps,mean_latency_ms,p95_latency_ms,deadline_satisfaction_pct,blocking_pct,avg_qoe,fairness,energy_J_per_step,walltime_ms_per_step,mean_episode_return,training_env_steps,training_iterations,training_walltime_s,algorithm_backend,run_dir,users_per_bs
ours__full__urban__bs4__u80__main__seed42,Ours,ours,42,main,urban,4,80,196.56344275477232,159.25766390212044,463.20662687131374,48.404375,0.0,0.7576101484718881,0.968624391957878,500153.903660472,16.059805393218994,101.68534705900186,200000,200,4603.540713310242,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u80__main__seed42,20.0
ours__full__urban__bs4__u80__main__seed43,Ours,ours,43,main,urban,4,80,197.41942741060683,135.96787916439916,434.7568907451393,54.0996875,0.0,0.7716521555084006,0.970293234437276,499356.5220157214,15.918751180171968,105.99069470774464,200000,200,4568.820488214493,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u80__main__seed43,20.0
ours__full__urban__bs4__u80__main__seed44,Ours,ours,44,main,urban,4,80,197.4069564023332,139.81197429796046,443.8673312903707,53.445625,0.0,0.7681938502931134,0.9707533695113866,449521.2877705887,15.72246503829956,106.24959911370595,200000,200,4611.048085689545,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u80__main__seed44,20.0
ours__full__urban__bs8__u160__bs_scale__seed42,Ours,ours,42,bs_scale,urban,8,160,382.771250771976,153.93860818694296,464.1761090046528,50.55328125,0.4353125,0.7562472534286081,0.967928502025557,947878.08289943,108.69055390357973,102.48603443692475,200000,200,24856.40101838112,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs8__u160__bs_scale__seed42,20.0
ours__full__urban__bs8__u160__bs_scale__seed43,Ours,ours,43,bs_scale,urban,8,160,382.0346543393935,164.56886634898885,475.9401764730304,47.70078125,0.14765625,0.7493832583136063,0.9687394397709296,915686.2205451193,109.22710293531418,100.90129362177966,200000,200,25050.253154039383,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs8__u160__bs_scale__seed43,20.0
ours__full__urban__bs8__u160__bs_scale__seed44,Ours,ours,44,bs_scale,urban,8,160,380.41166475309126,144.67796880063648,451.5772356837542,52.98984375,0.7040625,0.7607690871451895,0.9680632083055056,996530.5319673036,109.58228504657744,103.46314047853828,200000,200,25070.348390579224,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs8__u160__bs_scale__seed44,20.0
